18/12/2020 17:41:39 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:18:47 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:22:12 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:23:09 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:25:47 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:31:47 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:36:34 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:38:33 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 14:42:02 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 15:27:11 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
22/12/2020 16:24:02 - ATTENZIONE, NEL DB FUSION CONTROLLARE TABELLA ba_prop_value CON ITA=, ENG=_ENG, ESP=, FRA=_FRA, DEU=
